"id","amount","decision_date","year","donor","recipient","emergency_id","appeal_id","status","is_allocation","project_code","appeal_title","emergency_title"
206332,75200262,"2014-01-15T00:00:00",2014,"Norway","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206346,137931,"2014-01-15T00:00:00",2014,"Hungary","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206347,5e+06,"2014-01-15T00:00:00",2014,"Korea, Republic of","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206615,2.2e+07,"2014-01-15T00:00:00",2014,"United States of America","United Nations Children's Fund",16440,1044,"Commitment",0,"SYR-14/SNYS/67239/R/124","Syria Humanitarian Assistance Response Plan (SHARP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206619,3500000,"2014-01-15T00:00:00",2014,"United States of America","World Food Programme",16440,1048,"Commitment",0,"SRRP-14/MS/64859/561","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206620,2500000,"2014-01-15T00:00:00",2014,"United States of America","World Food Programme",16440,1048,"Commitment",0,"SRRP-14/MS/64858/561","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205768,1612903,"2013-10-22T00:00:00",2025,"United Kingdom ","United Nations Relief and Works Agency for Palestine Refugees in the Near East",16440,0,"Commitment",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
205762,1494801,"2013-12-13T00:00:00",2014,"United Kingdom ","Norwegian Refugee Council",16440,1048,"Commitment",0,"SRRP-14/MS/64777/5834","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206623,7e+06,"2014-01-15T00:00:00",2014,"United States of America","World Food Programme",16440,1048,"Commitment",0,"SRRP-14/MS/64856/561","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205446,993485,"2013-12-13T00:00:00",2014,"United Kingdom ","World Vision International",16440,1048,"Commitment",0,"SRRP-14/MS/64869/8502","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205448,5700326,"2013-12-13T00:00:00",2025,"United Kingdom ","International Committee of the Red Cross",16440,0,"Commitment",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
205450,3388497,"2013-12-13T00:00:00",2014,"United Kingdom ","World Food Programme",16440,1048,"Commitment",0,"SRRP-14/MS/64856/561","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206010,20244565,"2013-12-20T00:00:00",2014,"European Commission Humanitarian Aid Office","Norwegian Refugee Council",16440,1048,"Commitment",0,"SRRP-14/MS/64777/5834","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206211,2717391,"2013-12-24T00:00:00",2014,"European Commission Humanitarian Aid Office","United Nations Population Fund",16440,1044,"Commitment",0,"SYR-14/H/61649/1171","Syria Humanitarian Assistance Response Plan (SHARP) 2014","Syrian Arab Republic - Civil Unrest 2014"
